time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-27 01:51:58,6.9718,26.8494,590.6667,522.6667,20.3667,20.2,0.4415,0.0017,Rollback,1
2024-09-27 02:01:20,3.3995,25.7446,570.6667,502.6667,20.3,26.4,0.4371,0.35364344068562426,Migrate,1
2024-09-27 02:10:41,99.8953,37.7899,562.6667,498.6667,20.1667,22.4333,0.224,2.95887827752263,Migrate,1
2024-09-27 02:19:22,10.3808,25.0031,592.0,526.6667,29.9,29.2,0.2232,1.0453014054472476,Migrate,1
2024-09-27 02:28:38,3.0873,26.8555,536.0,472.0,35.4333,54.0,0.4439,1.0369636948193441,Restart,1
2024-09-28 17:22:46,5.5058,26.944,602.6667,536.0,35.7333,35.2333,0.4433,0.0019,Rollback,1
2024-09-28 17:31:54,3.8742,27.9327,548.0,480.0,27.2333,36.0,0.8295,2.110853775342868,Restart,1
2024-09-28 17:40:30,100.0234,37.8662,561.3333,492.0,32.4333,31.0667,0.2276,0.6816126649533758,Restart,1
2024-09-28 17:49:20,13.3616,25.4669,572.0,513.3333,19.6667,18.2,0.2233,0.552584230538394,Restart,1
2024-09-28 17:58:08,3.4304,27.2156,544.0,481.3333,22.4,28.7667,0.8125,1.0778658645045176,Migrate,1
2024-09-30 21:11:51,4.671,27.9663,596.0,516.0,20.3667,23.1333,0.4382,0.0019,Rollback,0
2024-09-30 21:21:52,4.1272,25.9644,525.3333,456.0,18.6333,27.6,0.425,0.8560229719958735,Migrate,1
2024-09-30 21:31:00,100.0211,36.8256,561.3333,492.0,19.6667,21.5667,0.2345,0.6020947143308403,Restart,1
2024-09-30 21:40:20,14.368,25.7843,581.3333,518.6667,23.4667,27.3,0.4489,0.6915157293868497,Restart,1
2024-09-30 21:49:30,3.7425,25.0519,550.6667,484.0,23.0333,32.9,0.4426,0.4371245659147479,Migrate,1
2024-10-02 01:26:40,4.4337,26.8494,424.0,350.6667,17.1667,18.5,0.4425,0.002,Rollback,1
2024-10-02 01:36:23,2.5326,25.8087,412.0,346.6667,16.6667,25.1667,0.8214,0.6014667050095999,Restart,1
2024-10-02 01:45:47,99.8473,39.328,408.0,344.0,12.1,12.3,0.224,1.0233630660259532,Restart,1
2024-10-02 01:54:46,8.9119,26.0284,400.0,336.0,15.2,16.1667,0.4506,0.679869612131332,Restart,1
2024-10-02 02:04:03,2.9799,24.8749,393.3333,330.6667,22.7,35.0667,0.8159,0.7322676449307076,Restart,1
2024-10-03 03:24:43,3.5603,27.0203,584.0,512.0,27.5667,30.5667,0.4375,0.002,Rollback,1
2024-10-03 03:34:37,2.6703,26.5411,514.6667,449.3333,11.9,17.3,0.4369,1.0137286434934023,Restart,0
2024-10-03 03:43:55,99.9336,37.4969,561.3333,493.3333,17.5333,18.7,0.2234,1.0353257408606302,Restart,1
2024-10-03 03:53:15,10.8225,25.7416,545.3333,493.3333,24.0,26.3667,0.2225,1.0542253814310558,Restart,0
2024-10-03 04:02:10,2.4259,26.7181,550.6667,486.6667,12.5667,17.9333,0.4685,0.26651625421278385,Restart,0
2024-10-03 22:07:09,2.7645,30.603,604.0,532.0,24.5,22.9,0.0229,0.45014844072690463,Flow-Control,1
2024-10-04 01:28:50,7.7765,28.3203,6445.3333,3450.6667,52.5667,40.9,0.0217,0.8739930241242052,Flow-Control,0
2024-10-04 02:14:50,4.1419,28.598,586.6667,516.0,29.2667,27.0333,0.0208,1.0055423321392358,Flow-Control,0
2024-10-04 03:00:58,8.0211,29.2847,6294.6667,3393.3333,62.7,45.3333,0.0224,0.5786701796901844,Flow-Control,0
2024-10-05 04:22:44,5.2867,27.0355,577.3333,508.0,29.1667,32.5,0.4422,0.0019,Rollback,1
2024-10-05 04:33:00,3.6051,26.1871,509.3333,445.3333,18.2667,30.1,0.8377,2.2495422898779935,Restart,1
2024-10-05 04:42:25,99.7922,36.9904,561.3333,497.3333,21.0333,24.0,0.2284,0.3588996220673816,Migrate,1
2024-10-05 04:52:01,14.0994,26.1902,536.0,478.6667,17.2,19.2,0.2203,0.5606955636062305,Restart,1
2024-10-05 05:01:21,4.2906,25.6287,500.0,434.6667,22.0667,34.8,0.8336,0.9997903886598054,Restart,1
2024-10-05 05:13:31,4.0594,28.36,594.6667,526.6667,30.2333,28.0333,0.0229,1.002570045045647,NoOps,1
2024-10-06 19:34:36,4.4074,27.0142,558.6667,488.0,10.7,12.0667,0.4418,0.0019,Rollback,1
2024-10-06 19:44:29,3.0756,25.8026,529.3333,462.6667,19.9333,30.1,0.8279,2.0309892697857252,Restart,1
